aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	ECS/EC2LaunchType/clusters/public-vpc.yaml	ecs-ec2launchtype-public-vpc.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	ECS/EC2LaunchType/services/public-service.yaml	ecs-ec2launchtype-public-service.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	ECS/ECS_Schedule_Example.yaml	ecs-schedule-example.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	EKS/template.yaml	eks-cluster.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	EC2/EC2InstanceWithSecurityGroupSample.yaml	ec2-instance-with-security-group.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	EC2/EC2_Instance_With_Ephemeral_Drives.yaml	ec2-instance-with-ephemeral-drives.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	EC2/EIP_With_Association.yaml	ec2-eip-with-association.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	EC2/InstanceWithCfnInit.yaml	ec2-instance-with-cfn-init.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	EC2/SingleENIwithMultipleEIPs.yaml	ec2-single-eni-multiple-eips.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	EC2/ec2_with_waitcondition_template.yaml	ec2-with-waitcondition.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	AppRunner/AppRunnerServiceFromECR.yaml	apprunner-service-from-ecr.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	ElasticLoadBalancing/ELBGuidedAutoScalingRollingUpgrade.yaml	elb-guided-autoscaling-rolling-upgrade.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	ElasticLoadBalancing/NetworkLoadBalancerWithEIPs.yaml	nlb-with-eips.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	ElasticLoadBalancing/ELBStickinessSample.yaml	elb-stickiness-sample.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	VPC/FindInMapAZs.yaml	vpc-findinmap-azs.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	VPC/VPC_With_Managed_NAT_And_Private_Subnet.yaml	vpc-managed-nat-private-subnet.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	VPC/VPC_EC2_Instance_With_Multiple_Static_IPAddresses.yaml	vpc-ec2-multiple-static-ips.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	S3/S3_LambdaTrigger.yaml	s3-lambda-trigger.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	S3/compliant-bucket.yaml	s3-compliant-bucket.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	S3/compliant-static-website.yaml	s3-compliant-static-website.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	EFS/EFSAccessPoint.yaml	efs-access-point.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	EFS/efs_with_automount_to_ec2.yaml	efs-with-automount-to-ec2.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	RDS/RDS_MySQL_With_Read_Replica.yaml	rds-mysql-with-read-replica.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	RDS/RDS_PIOPS.yaml	rds-piops.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	RDS/RDS_Snapshot_On_Delete.yaml	rds-snapshot-on-delete.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	DynamoDB/DynamoDB_Secondary_Indexes.yaml	dynamodb-secondary-indexes.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	DynamoDB/DynamoDB_Table.yaml	dynamodb-table.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	NeptuneDB/Neptune.yaml	neptunedb-cluster.yaml
aws-cloudformation/aws-cloudformation-templates	a0f43bc6d20813052892546f445037cf84c75b54	ElastiCache/Elasticache-snapshot.yaml	elasticache-snapshot.yaml
